id,clap_embedding,clap_status,clap_error
d55aedb6-bf53-45c0-8540-34d149ce4c04,,failed,[Errno 2] No such file or directory: 'ffmpeg'
a3a77e76-6b70-48b4-92ab-8458858c29a4,,failed,[Errno 2] No such file or directory: 'ffmpeg'
37071301-4944-42b1-ab3c-c619337130e9,,failed,[Errno 2] No such file or directory: 'ffmpeg'
54276b62-83c8-4114-8437-bce1b8e74eb7,,failed,[Errno 2] No such file or directory: 'ffmpeg'
891957f9-4a53-4ae1-ae42-83a577e50f94,,failed,[Errno 2] No such file or directory: 'ffmpeg'
e5c5dad2-7707-4806-ada5-dc02f975ffad,,failed,[Errno 2] No such file or directory: 'ffmpeg'
61a6f0ab-c2c2-412b-b6eb-1e3afa0b0636,,failed,[Errno 2] No such file or directory: 'ffmpeg'
96069d7d-c459-4bd7-a404-4b2904764aac,,failed,[Errno 2] No such file or directory: 'ffmpeg'
6741b9e2-dc09-4a8f-8b8a-26c788d75971,,failed,[Errno 2] No such file or directory: 'ffmpeg'
25b5319b-49c0-4446-aa8e-97894301dcb3,,failed,[Errno 2] No such file or directory: 'ffmpeg'
5b9c6cdf-711b-4490-8130-a8f402be5772,,failed,[Errno 2] No such file or directory: 'ffmpeg'
00bd12dd-3ecc-47dc-bd8a-2fbe3fb845a8,,failed,[Errno 2] No such file or directory: 'ffmpeg'
517e482d-b62c-4477-8ef2-e54d80c63d99,,failed,[Errno 2] No such file or directory: 'ffmpeg'
36854b6b-1337-4550-9ccf-e0c0d75b598e,,failed,[Errno 2] No such file or directory: 'ffmpeg'
1ddba0a7-7f20-4c02-8162-8cd94662a288,,failed,[Errno 2] No such file or directory: 'ffmpeg'
c4b11aa1-1e7c-48c4-8902-40eeec288a11,,failed,[Errno 2] No such file or directory: 'ffmpeg'
58a144c5-a3d4-4755-bac1-894ebc1954a2,,failed,[Errno 2] No such file or directory: 'ffmpeg'
ad7daad8-6cdd-4d8b-af7e-900f4441fbc2,,failed,[Errno 2] No such file or directory: 'ffmpeg'
2e9c64d1-35b3-448a-b840-82f54ef5f6a7,,failed,[Errno 2] No such file or directory: 'ffmpeg'
35a1bf09-23da-4ccd-80be-60fc8a5f85de,,failed,[Errno 2] No such file or directory: 'ffmpeg'
8564cac4-1aa1-4678-a8ca-f0c16e2e368a,,failed,[Errno 2] No such file or directory: 'ffmpeg'
f84c10c4-56c9-4a04-9c7b-684205dfa302,,failed,[Errno 2] No such file or directory: 'ffmpeg'
ee12f1c0-ad6b-4047-9ba6-cc29bac3e08b,,failed,[Errno 2] No such file or directory: 'ffmpeg'
bc396d75-5d4a-40be-a0df-af9aabf00b52,,failed,[Errno 2] No such file or directory: 'ffmpeg'
0c129fbc-06e7-4bd5-afe4-4222b9404d55,,failed,[Errno 2] No such file or directory: 'ffmpeg'
170a0781-2348-4235-a017-c922f42a3114,,failed,[Errno 2] No such file or directory: 'ffmpeg'
23df8f45-a50e-437f-a7c8-5ee06b2c0f16,,failed,[Errno 2] No such file or directory: 'ffmpeg'
4122448d-1c01-4d67-96fe-a708dbe46621,,failed,[Errno 2] No such file or directory: 'ffmpeg'
21d7ab49-0ef3-42c9-bd35-9752ef14ec70,,failed,[Errno 2] No such file or directory: 'ffmpeg'
71ab4e5e-0754-44e3-8b6f-ddf7f468337c,,failed,[Errno 2] No such file or directory: 'ffmpeg'
0b26fb9e-b22a-48ae-99c7-d3403bfb5421,,failed,[Errno 2] No such file or directory: 'ffmpeg'
7d36da8e-eadb-4f21-9a9f-8c7c6dce07cf,,failed,[Errno 2] No such file or directory: 'ffmpeg'
1d948e3c-2883-411a-ba04-68b1210382c4,,failed,[Errno 2] No such file or directory: 'ffmpeg'
d8bb0770-601a-4ac2-a879-4da293548a25,,failed,[Errno 2] No such file or directory: 'ffmpeg'
fadb2fed-418b-430f-a812-2a2ece8c846f,,failed,[Errno 2] No such file or directory: 'ffmpeg'
4b8dda46-e0f3-4812-a273-4fe59878e56e,,failed,[Errno 2] No such file or directory: 'ffmpeg'
00a698aa-4af9-4fb8-ad47-bf8c71d59110,,failed,[Errno 2] No such file or directory: 'ffmpeg'
b4dbb9bb-ba02-4513-8342-ccd92f397cd5,,failed,[Errno 2] No such file or directory: 'ffmpeg'
734a1efc-a505-4527-bfcf-00ce8c82c1c8,,failed,[Errno 2] No such file or directory: 'ffmpeg'
c63de5ab-b6c5-45df-a48d-336d1b08010c,,failed,[Errno 2] No such file or directory: 'ffmpeg'
05f96b85-3da5-42df-9110-e8a5ee563183,,failed,[Errno 2] No such file or directory: 'ffmpeg'
eac76972-dd00-4561-8646-c5192ab43983,,failed,[Errno 2] No such file or directory: 'ffmpeg'
bf78f066-2170-4cbb-bbf1-32a151fbf3f4,,failed,[Errno 2] No such file or directory: 'ffmpeg'
0ac02103-cb81-445c-9c01-700e3aafa802,,failed,[Errno 2] No such file or directory: 'ffmpeg'
acffa0fd-0a4d-4c42-a88b-d1c8a90805ec,,failed,[Errno 2] No such file or directory: 'ffmpeg'
e975e767-1442-414e-b234-e549411c4bbf,,failed,[Errno 2] No such file or directory: 'ffmpeg'
2c54f4a9-5bf0-4210-af7b-c149c749c9e4,,failed,[Errno 2] No such file or directory: 'ffmpeg'
ec0aa1e2-116c-4eab-9899-7384d7490263,,failed,[Errno 2] No such file or directory: 'ffmpeg'
3f2fcce2-5f80-4473-8ae7-adc8db292fe9,,failed,[Errno 2] No such file or directory: 'ffmpeg'
e0a59939-d328-4083-9e55-6d7674430bdb,,failed,[Errno 2] No such file or directory: 'ffmpeg'
179f92b8-7a00-4f75-8623-81d31888962d,,failed,[Errno 2] No such file or directory: 'ffmpeg'
d0de5c16-d034-4f2a-a6c4-903c63a4a55b,,failed,[Errno 2] No such file or directory: 'ffmpeg'
afdc26c9-762c-4b87-bd09-acee9adf4bbb,,failed,[Errno 2] No such file or directory: 'ffmpeg'
769e52ed-42c7-405d-82ba-6e9e2014f223,,failed,[Errno 2] No such file or directory: 'ffmpeg'
8b332ebe-4c8d-4b52-9f7b-91f3d4a7db53,,failed,[Errno 2] No such file or directory: 'ffmpeg'
e01a5ed3-8a09-42ea-b726-1b17bbe31188,,failed,[Errno 2] No such file or directory: 'ffmpeg'
2fd44fbe-3be1-4787-9699-053710da2bb4,,failed,[Errno 2] No such file or directory: 'ffmpeg'
ecd5a6ed-4cdc-4684-8ed5-73bf41fa1542,,failed,[Errno 2] No such file or directory: 'ffmpeg'
49a78dc0-82f8-4238-a27b-43638ee5fabc,,failed,[Errno 2] No such file or directory: 'ffmpeg'
ddda19e5-88b1-4ef5-a9e6-8b73cc945dd9,,failed,[Errno 2] No such file or directory: 'ffmpeg'
2e392c9d-2d1f-453c-9bfa-8110ee303a3d,,failed,[Errno 2] No such file or directory: 'ffmpeg'
eb7ebeb3-9289-4275-b951-6704f8d5da45,,failed,[Errno 2] No such file or directory: 'ffmpeg'
a4ed941c-144a-4444-ad47-a57a5eb54388,,failed,[Errno 2] No such file or directory: 'ffmpeg'
511d3d58-6786-4644-a4a1-a2292cd1c1b2,,failed,[Errno 2] No such file or directory: 'ffmpeg'
901af6c5-8472-4148-aa48-f696a7551b7f,,failed,[Errno 2] No such file or directory: 'ffmpeg'
356f4a15-9be8-42ec-9ab2-51378c0aa5d4,,failed,[Errno 2] No such file or directory: 'ffmpeg'
0d44c05e-542b-44bf-81fc-2ad3c13ccafd,,failed,[Errno 2] No such file or directory: 'ffmpeg'
0c57c40a-6047-47fb-9cf6-7426812457e9,,failed,[Errno 2] No such file or directory: 'ffmpeg'
5ca761ae-e21e-401c-ac40-47c5d10ab749,,failed,[Errno 2] No such file or directory: 'ffmpeg'
c678fea4-58ff-4a0a-a093-db5c1282cff2,,failed,[Errno 2] No such file or directory: 'ffmpeg'
795d0041-f448-4a9e-8d88-a8df63fa112d,,failed,[Errno 2] No such file or directory: 'ffmpeg'
8e12c8f5-418d-491b-8068-ebd6c51b65b8,,failed,[Errno 2] No such file or directory: 'ffmpeg'
562dcbe8-bb43-403d-b423-c9c42674485a,,failed,[Errno 2] No such file or directory: 'ffmpeg'
4c276cb6-e5fc-4858-8bbf-e292724c04d6,,failed,[Errno 2] No such file or directory: 'ffmpeg'
09b22b2c-e292-495d-8831-b558afdc8685,,failed,[Errno 2] No such file or directory: 'ffmpeg'
8599b47a-aea0-4e30-99b6-649dcbae0a9b,,failed,[Errno 2] No such file or directory: 'ffmpeg'
83800fb7-d5a0-4d6e-8313-ce6328df8939,,failed,[Errno 2] No such file or directory: 'ffmpeg'
b8582820-814c-404b-b71d-1c0bc45b15b9,,failed,[Errno 2] No such file or directory: 'ffmpeg'
623170c9-60cc-409a-af3e-17471dcf669f,,failed,[Errno 2] No such file or directory: 'ffmpeg'
e27b5b1e-839d-4aa9-ba2e-d9126f395f3d,,failed,[Errno 2] No such file or directory: 'ffmpeg'
2a8d5f41-f32e-452c-b942-b5db0fd54706,,failed,[Errno 2] No such file or directory: 'ffmpeg'
c5e34e06-a9cf-4722-8f6f-8690b15d4f80,,failed,[Errno 2] No such file or directory: 'ffmpeg'
f9953737-6005-4327-a9d2-11b81d9b2b74,,failed,[Errno 2] No such file or directory: 'ffmpeg'
338a05aa-5aec-41af-8eac-46a252dd3dde,,failed,[Errno 2] No such file or directory: 'ffmpeg'
0a50ebee-d6ab-4fbc-b85b-c29390d8620c,,failed,[Errno 2] No such file or directory: 'ffmpeg'
0aedae2d-4ef7-4f1b-96dc-6271c53e159c,,failed,[Errno 2] No such file or directory: 'ffmpeg'
56ed1abe-583b-40ff-9839-8044c73ce765,,failed,[Errno 2] No such file or directory: 'ffmpeg'
59f09de1-a701-4f8e-afd3-f764013fe468,,failed,[Errno 2] No such file or directory: 'ffmpeg'
67c3f235-c019-4253-8f39-aa1756476775,,failed,[Errno 2] No such file or directory: 'ffmpeg'
fc07b22e-0ada-4e86-a9c4-eed76ce02150,,failed,[Errno 2] No such file or directory: 'ffmpeg'
8ad6a023-f89c-403f-9138-a9330a57f648,,failed,[Errno 2] No such file or directory: 'ffmpeg'
